"","Item_Category","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Years_Open","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"1","FD","A15",9.3,"Low Fat",0.016047301,"Dairy",249.8092,14,"OUT049","Medium","Tier 1","Supermarket Type1",3735.138
"2","DR","C01",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,4,"OUT018","Medium","Tier 3","Supermarket Type2",443.4228
"3","FD","N15",17.5,"Low Fat",0.016760075,"Meat",141.618,14,"OUT049","Medium","Tier 1","Supermarket Type1",2097.27
"4","FD","X07",19.2,"Regular",0,"Fruits and Vegetables",182.095,15,"OUT010","Medium","Tier 3","Grocery Store",732.38
"5","NC","D19",8.93,"Low Fat",0,"Household",53.8614,26,"OUT013","High","Tier 3","Supermarket Type1",994.7052
"6","FD","P36",10.395,"Regular",0,"Baking Goods",51.4008,4,"OUT018","Medium","Tier 3","Supermarket Type2",556.6088
"7","FD","O10",13.65,"Regular",0.012741089,"Snack Foods",57.6588,26,"OUT013","High","Tier 3","Supermarket Type1",343.5528
"8","FD","P10",12.9878795546559,"Low Fat",0.127469857,"Snack Foods",107.7622,28,"OUT027","Medium","Tier 3","Supermarket Type3",4022.7636
"9","FD","H17",16.2,"Regular",0.016687114,"Frozen Foods",96.9726,11,"OUT045","Small","Tier 2","Supermarket Type1",1076.5986
"10","FD","U28",19.2,"Regular",0.09444959,"Frozen Foods",187.8214,6,"OUT017","Small","Tier 2","Supermarket Type1",4710.535
"11","FD","Y07",11.8,"Low Fat",0,"Fruits and Vegetables",45.5402,14,"OUT049","Medium","Tier 1","Supermarket Type1",1516.0266
"12","FD","A03",18.5,"Regular",0.045463773,"Dairy",144.1102,16,"OUT046","Small","Tier 1","Supermarket Type1",2187.153
"13","FD","X32",15.1,"Regular",0.1000135,"Fruits and Vegetables",145.4786,14,"OUT049","Medium","Tier 1","Supermarket Type1",1589.2646
"14","FD","S46",17.6,"Regular",0.047257328,"Snack Foods",119.6782,16,"OUT046","Small","Tier 1","Supermarket Type1",2145.2076
"15","FD","F32",16.35,"Low Fat",0.0680243,"Fruits and Vegetables",196.4426,26,"OUT013","High","Tier 3","Supermarket Type1",1977.426
"16","FD","P49",9,"Regular",0.069088961,"Breakfast",56.3614,16,"OUT046","Small","Tier 1","Supermarket Type1",1547.3192
"17","NC","B42",11.8,"Low Fat",0.008596051,"Health and Hygiene",115.3492,4,"OUT018","Medium","Tier 3","Supermarket Type2",1621.8888
"18","FD","P49",9,"Regular",0.069196376,"Breakfast",54.3614,14,"OUT049","Medium","Tier 1","Supermarket Type1",718.3982
"19","DR","I11",11.4003278688525,"Low Fat",0.034237682,"Hard Drinks",113.2834,28,"OUT027","Medium","Tier 3","Supermarket Type3",2303.668
