state,state_FOODINSEC_13_15,state_FOODINSEC_10_12,state_LACCESS_POP15,state_LACCESS_LOWI15,state_MEDHHINC15,state_GROCPTH14
AL,17.6,17.9,7708.624531891792,2241.191144287724,59520.44827586207,0.7299785448965517
AK,13.3,12.1,14371.804328404478,5651.09253988836,39830.10447761194,0.18568177416417905
AZ,19.2,19.7,7838.947588726667,3399.598631699333,38592.68,0.18544150083999997
AR,14.9,14.9,83623.85343306667,32146.580382466665,44016.73333333333,0.15261435839999998
CA,12.6,15.6,74540.50872363274,21137.059262601728,57650.93103448276,0.27053332974137934
CO,12.1,14.1,14762.883231471096,4292.254913324843,53810.53125,0.4128064938124999
CT,13.1,13.4,129233.28321375,19404.683317500003,72445.125,0.19894692349999998
DE,13.2,12.0,12688.2801,4728.931789,73115.0,0.300504027
DC,11.9,11.6,58462.08383333334,13991.578900333334,58722.0,0.180435003
FL,12.7,14.8,59500.00317789046,20115.857235451047,45390.35820895522,0.17296583832835824
GA,14.9,16.9,14985.917307322563,5510.681723587671,42510.3144654088,0.19360929903144647
HI,9.7,14.0,72995.996358,18886.990028199998,54052.8,0.1973953738
ID,10.6,12.6,5719.0530883777765,1716.8925274432324,53144.878787878784,0.2606308958787879
IL,13.8,14.3,7199.769909097729,2515.5368474284082,46685.295454545456,0.2925523337045455
IN,11.1,13.0,22500.65774916079,5617.764591164806,52188.06862745098,0.2066716396764706
IA,14.8,13.5,15373.234221077731,4882.985619338924,50966.684782608696,0.16932746406521737
KS,14.6,14.4,6468.21453347333,2248.345209967048,49375.76190476191,0.3411601213142857
KY,17.6,15.6,5789.768422703575,2018.780916792467,41152.041666666664,0.20702238582499996
LA,18.4,15.7,16568.55911282812,6748.11359745469,42974.5625,0.20251190276562503
ME,9.7,11.4,122515.07175471428,19149.93784250714,67472.78571428571,0.2712562451428571
MD,10.7,13.0,49013.423340128735,8153.022135599666,68852.20833333333,0.19662383437499997
MA,15.8,14.9,10704.15532224375,3182.270806537499,46777.625,0.3095842345
MI,14.9,13.4,25106.581353004454,7494.624443511372,46487.6265060241,0.2473545573012049
MN,9.9,10.6,15049.81273791954,3426.769887543907,55764.96551724138,0.2571988171954023
MS,15.2,16.7,11489.930245631911,3557.9424866620866,43271.7652173913,0.22773244791304334
MO,20.8,20.9,8043.1990433878045,3857.271083406099,36834.79268292683,0.19449068663414637
MT,12.2,14.1,4148.240854526785,1463.0519155089282,45916.91071428572,0.47732124939285697
NE,15.9,17.0,17594.163030445972,6426.523450466738,43288.85,0.19553884655000003
NV,8.5,8.7,3319.4877662094345,892.8703621716979,56874.15094339623,0.491211968754717
NH,14.8,13.4,3691.844309496452,1108.594017018925,51381.63440860215,0.4831306560645159
NJ,10.1,9.9,34273.41774259,6543.388688869999,61964.0,0.21083426750000003
NM,11.1,12.1,94783.29616728572,15262.12195555714,72657.0,0.28045808485714285
NY,14.4,15.2,19744.75044166061,8764.405725236364,41358.06060606061,0.20818042839393944
NC,14.2,16.6,24269.488956258825,8514.644944305883,57020.41176470588,0.2692926233529413
ND,14.1,13.2,34804.75781502902,7153.853320309837,55542.93548387097,0.29893297156451615
OH,16.1,16.1,29962.97815605907,8883.621895129208,50825.48863636364,0.17105035606818178
OK,15.5,15.3,10868.941469296105,4198.637134356493,45543.493506493505,0.20695774150649351
OR,16.1,13.6,17177.945240055556,5728.653596369444,47634.805555555555,0.31492964888888897
PA,12.4,12.3,37713.311782834324,8673.331415737464,51610.82089552239,0.1997473184925373
RI,11.8,15.4,46966.659294000005,9932.1467294,65813.4,0.19407485740000002
SC,13.2,15.4,22920.798501063047,9176.326163955218,41436.13043478261,0.18491384460869567
SD,11.5,12.9,3746.4233045424244,1301.0945221251516,48610.530303030304,0.4149583439242424
TN,15.1,16.2,15706.080396144036,5651.575541312982,42519.53684210526,0.18087786210526324
TX,15.4,18.4,22546.967483083812,8584.320502074603,48728.830708661415,0.21270764040944873
UT,11.9,14.8,18980.728058240347,5541.707884615656,56898.793103448275,0.3165273503103448
VT,9.8,9.2,10775.336551914077,2554.8846308136413,53629.522388059704,0.21347814832835826
VA,11.4,12.7,5129.807759024287,1471.5871530607142,53864.71428571428,0.3841015125714286
WA,12.9,14.6,38294.04859576359,9551.112472143976,52487.0,0.293280576974359
WV,11.3,11.2,14459.531001286108,3776.0700739890285,53164.930555555555,0.20902492472222226
WI,15.0,14.2,5925.670001287418,2207.469450241381,40523.30909090909,0.21786891939999994
WY,13.2,13.8,7439.214422995651,2129.2537736826084,59936.47826086957,0.25437311960869563
